ID;fmax;fmax_e;dnu_cor;dnu_cor_e;dnu02;dnu02_e;fm;fm_e;dnu;dnu_e;alp;alp_e;evo
8223014;45.025610;0.20353148;4.7826303;0.0060785129;0.63728398;0.012536453;43.541193;0.0093435241;4.8203691;0.012732086;0.014238603;0.0020583033;0
8223463;132.92623;0.32387022;10.977849;0.0048634890;1.4025081;0.010868738;134.11172;0.0085381413;10.930408;0.0069530851;0.0048984274;0.00069165180;0
8223927;53.358946;0.18589759;5.6526239;0.0062750871;0.77916217;0.011435951;51.460836;0.0074180839;5.6658060;0.0073214823;0.0035202360;0.0016174187;0
8225839;32.470552;0.23573670;3.9851003;0.011852350;0.63114234;0.014300791;34.760091;0.017507116;4.0545311;0.040599932;0.016558258;0.0046167447;1
8227312;23.341011;0.16053712;3.2339370;0.0093699438;0.45553780;0.011409627;22.383560;0.010892605;3.3421747;0.017618870;0.028467657;0.0045697613;1
8228880;159.16210;0.47152433;12.056682;0.0068528799;1.4231703;0.013490516;159.59962;0.0096358991;12.022949;0.0088547938;0.0016978706;0.00081040626;0
8230578;89.613457;0.32069473;7.5690264;0.0070415623;0.88650057;0.019330703;91.218776;0.013339266;7.6210005;0.013795846;0.0020595637;0.0012317734;2
8231947;7.3151473;0.080699022;1.1192693;0.0040390497;0.15569486;0.0051295375;6.5948973;0.0057373828;1.1743235;0.0058905525;0.037499175;0.0053868177;0
8232017;48.598445;0.23353743;5.1199014;0.0042103798;0.67324377;0.0089574131;51.167669;0.0079808090;5.0934850;0.0074976770;0.0072315684;0.0011853557;0
8232262;74.279597;0.65775207;6.0018612;0.0080643987;0.70595875;0.0071555652;72.220858;0.012368874;6.0150683;0.017467563;0.0045455578;0.0020681095;2
8232851;47.904521;0.27535965;4.6832517;0.0062091306;0.65831969;0.014382344;46.762491;0.010163612;4.7498331;0.010582042;0.018543233;0.0019326635;1
8233775;81.246689;0.24844201;7.5604378;0.0046500218;0.97027437;0.011081376;83.738865;0.0079138917;7.5138652;0.0076873363;0.0082474723;0.00095557074;0
8233917;29.887636;0.20115893;3.7840491;0.010498480;0.59307703;0.019735263;29.838073;0.013812508;3.8340326;0.012542753;0.023602576;0.0045061133;1
8234394;34.418021;0.53809795;4.0652332;0.0061423744;0.59783932;0.0088502556;32.727795;0.012593158;4.1335326;0.024666407;0.010169852;0.0023855856;1
8234900;171.83127;0.27137401;13.839978;0.0039553231;1.8017377;0.0099779327;170.01416;0.0071705323;13.812010;0.0072815595;0.0047813957;0.00043235656;0
8235013;29.868913;0.18695490;3.7244732;0.0071037071;0.63998561;0.0034417732;32.830039;0.011470232;4.1276718;0.011228456;0.010484997;0.0033649366;1
8235144;160.32309;0.28558189;12.765794;0.0045977325;1.6137745;0.010762941;156.82950;0.0074067932;12.745500;0.0066744837;0.0043258291;0.00055826487;0
8235448;31.599880;0.17857873;3.7290635;0.0041468088;0.53422408;0.0088546039;33.295903;0.0070990528;3.7145510;0.0069831698;0.0089163730;0.0016582628;0
8241402;29.570670;0.21506143;3.7826363;0.0058296312;0.61014575;0.014439994;30.032439;0.011854935;3.8395949;0.012196949;0.023949365;0.0023082094;1
8243314;63.882877;0.24617072;6.2543546;0.0056949936;0.79904093;0.013509818;63.315235;0.010869234;6.2528864;0.010463984;0.0087562482;0.0015062828;0
8244769;59.382752;0.71014938;5.8925666;0.010630379;0.76929404;0.022649807;59.425073;0.015072641;5.9004316;0.017623800;0.0078683572;0.0026821359;0
8246635;41.722566;0.26955461;4.4893177;0.0051708602;0.64055056;0.012973323;44.218431;0.0092084996;4.4962612;0.011111177;0.0055161206;0.0016598294;1
8247851;41.689506;0.25506171;4.5715734;0.0082636507;0.70216914;0.022484807;45.219154;0.012681323;4.5871499;0.016555373;0.0013740912;0.0011953000;1
8248041;75.038089;0.24706902;7.1470855;0.0052171334;0.95684542;0.011507490;72.855580;0.0086684766;7.1873943;0.0093658964;0.0089780658;0.0010780563;0
8248948;28.952630;0.20695715;3.3408787;0.0033773310;0.45325536;0.0088317214;29.765864;0.0074909539;3.3467406;0.0059598912;0.018211712;0.0018037394;0
8249714;51.965911;0.23955810;5.5499476;0.0056040364;0.75506462;0.013080287;55.401816;0.011620957;5.5386596;0.0090804378;0.010960904;0.0017073476;2
8250333;51.571268;0.18042974;5.4596600;0.0056833194;0.73006266;0.0097410779;54.761748;0.0067187121;5.4289679;0.0049476006;0.0058928718;0.0012941819;0
8250489;46.018446;0.23000499;4.7514101;0.0039622188;0.63195264;0.0091450232;47.576808;0.0071767116;4.7397983;0.0066606356;0.0054600405;0.0013320552;0
8255956;49.257395;0.49876541;5.0185993;0.013758409;0.77236004;0.031124402;49.349463;0.029241047;4.9980897;0.025507915;0.0091568327;0.0043651913;1
8256020;140.71665;0.40642765;11.399320;0.0040275384;1.4161114;0.010061175;139.48551;0.0073431213;11.371221;0.0067343738;0.0040174763;0.00054504296;0
8258311;35.402558;0.21958046;4.1790708;0.0086386835;0.68870679;0.019301827;33.520194;0.015413106;4.2866448;0.017038571;0.016553025;0.0031685543;1
8258630;73.449850;0.40032793;6.5916072;0.023143790;0.83083214;0.011718814;67.242919;0.0083924204;6.6649112;0.0093042571;0.010805783;0.0042308853;0
8259226;142.83249;0.26923494;11.441212;0.0045964368;1.4242655;0.010838793;140.05544;0.0077686026;11.405890;0.0078109747;0.0040155277;0.00062638566;0
8260055;32.041692;0.45864781;3.8608338;0.023242893;0.55621344;0.028919397;33.973298;0.028226299;3.8814873;0.037529796;0.0079725261;0.0060362319;1
8260453;43.255051;0.24995198;4.5648395;0.013586031;0.63753930;0.024048276;41.170481;0.013617501;4.6464213;0.017413995;0.015750035;0.0044604064;1
8260689;54.162965;0.27563777;5.5903568;0.0047066795;0.72491778;0.011572165;56.040483;0.0090808802;5.5680805;0.0084072339;0.0084840679;0.0014011462;0
8262338;229.96761;0.48627195;16.798412;0.0053460026;2.0682609;0.013009808;224.67593;0.0080301819;16.832278;0.0071836094;0.0011536557;0.00054757100;0
8264006;29.404827;0.30972835;3.6313358;0.016892814;0.71891497;0.017484130;25.672295;0.012417213;3.7487314;0.010219895;0.027245039;0.0049459771;1
8264079;197.67356;0.85175384;14.284154;0.0052714000;1.7390687;0.014352773;190.46110;0.0088241266;14.304889;0.0082321431;0.0026225317;0.00059416048;0
8277043;81.549476;0.22518847;7.5512549;0.0059866632;0.96788220;0.0093934089;83.988667;0.0072242761;7.5295182;0.0073234623;0.0066365531;0.0011231236;0
8277362;29.736845;0.16837305;3.6124818;0.0042923724;0.52808745;0.010147866;29.098864;0.0079443401;3.6562046;0.0084761860;0.019605424;0.0019025455;0
8277879;92.722047;0.31488188;7.8858791;0.0061409775;0.97078543;0.013057324;88.320850;0.0095625882;7.9077782;0.0087574217;0.0054559776;0.0010689390;0
8278906;31.461847;0.22838173;3.9644980;0.0072250996;0.66094367;0.017755671;31.383077;0.010644049;4.0341687;0.011801962;0.021679297;0.0026638254;1
8283646;65.954010;0.37525244;6.1625552;0.0043193638;0.77258001;0.010388744;67.965078;0.0075369690;6.1169611;0.0081174663;0.0055345669;0.0010250845;0
8283958;35.934451;0.20740024;3.9971384;0.0037502461;0.55459957;0.0092629596;36.007115;0.0073014543;4.0073076;0.0073068979;0.013352672;0.0014284201;0
8284032;38.932728;0.23680437;4.2731636;0.0040750892;0.58628099;0.010775246;38.652470;0.0087446194;4.2954782;0.0072744665;0.014178111;0.0014789883;0
8284510;46.759167;0.25035310;4.7368688;0.010377627;0.71954146;0.021957480;42.916258;0.014416478;4.8501665;0.014641226;0.020889856;0.0033758837;1
